Region,dont say gay bill: (5/19/21 - 5/19/22),zander moricz: (5/19/21 - 5/19/22)
Florida,100,100
Vermont,45,
Ohio,42,
New Hampshire,38,
Massachusetts,36,
Delaware,35,
Oregon,35,
West Virginia,34,
Maine,34,
Rhode Island,34,
District of Columbia,33,
Pennsylvania,30,
Connecticut,30,
Tennessee,29,
New Jersey,29,
Colorado,28,
Louisiana,28,
Minnesota,28,
Virginia,28,
Georgia,28,
Washington,27,
Montana,27,
Oklahoma,26,
New York,26,15
Michigan,26,
Arizona,25,
Illinois,25,
Utah,25,
Nevada,25,
Maryland,24,
Kentucky,24,
Alaska,24,
California,24,19
North Carolina,24,
Wyoming,24,
Wisconsin,24,
South Carolina,24,
North Dakota,23,
Missouri,23,
Indiana,22,
Nebraska,22,
Alabama,22,
Texas,19,
Hawaii,19,
Arkansas,19,
Idaho,19,
Kansas,17,
South Dakota,16,
Mississippi,15,
New Mexico,14,
Iowa,11,
